epoch,English,Chinese,Multilingual
4.65,0.2837,,
4.67,,,0.6964
4.68,,0.0596,
4.7,,,0.7071
4.72,,0.0933,
4.73,,,0.6999
4.75,0.2425,,
4.76,,0.0839,0.6877
4.79,,,0.7046
4.8,,0.0739,
4.81,,,0.6942
4.84,,0.0646,0.7018
4.85,0.2247,,
4.87,,,0.6936
4.88,,0.0577,
4.9,,,0.6943
4.92,,0.0502,
4.93,,,0.7002
4.95,0.2397,,
4.96,,0.1156,0.6974
4.99,,,0.6926
5.0,,0.0503,
5.01,,,0.7079
5.04,,0.0286,0.6968
5.05,0.2926,,
5.07,,,0.6944
5.08,,0.0292,
5.1,,,0.6963
5.12,,0.0766,
5.13,,,0.6933
5.15,0.1873,,
5.16,,0.0282,0.6977
5.19,,,0.6893
5.2,,0.0286,
5.21,,,0.6934
5.24,,0.0644,0.6917
5.25,0.1989,,
5.27,,,0.6965
5.28,,0.1053,
5.3,,,0.6952
5.32,,0.0625,
5.33,,,0.6941
5.35,0.2668,,
5.36,,0.0587,0.6927
5.38,,,0.6991
5.4,,0.0337,
5.41,,,0.7035
5.44,,0.029,0.6959
5.45,0.276,,
5.47,,,0.6926
5.48,,0.0232,
5.5,,,0.6911
5.52,,0.0295,
5.53,,,0.6912
5.54,0.2279,,
5.56,,0.0685,0.7
5.58,,,0.6909
5.6,,0.0481,
5.61,,,0.6984
5.64,0.2263,0.0558,0.6888
5.67,,,0.6965
5.68,,0.0109,
5.7,,,0.6939
5.72,,0.0735,
5.73,,,0.6909
5.74,0.184,,
5.75,,,0.683
5.76,,0.0378,
5.78,,,0.6774
5.8,,0.0277,
5.81,,,0.7055
5.84,0.27,0.0142,0.7084
5.87,,,0.7044
5.88,,0.0437,
5.9,,,0.6993
5.92,,0.0138,
5.93,,,0.6911
5.94,0.199,,
5.95,,,0.6893
5.96,,0.0337,
5.98,,,0.7104
6.0,,0.1137,
6.01,,,0.6912
6.04,0.1583,0.0146,0.6919
6.07,,,0.691
6.08,,0.0313,
6.1,,,0.6921
6.12,,0.001,
6.13,,,0.6833
6.14,0.1685,,
6.15,,,0.6825
6.16,,0.0637,
6.18,,,0.6716
6.2,,0.0841,
6.21,,,0.6657
6.24,0.1922,0.0382,0.6964
6.27,,,0.6837
6.28,,0.0283,
6.3,,,0.6898
6.32,,0.0404,0.6867
6.34,0.173,,
6.35,,,0.6906
6.36,,0.0231,
6.38,,,0.6984
6.4,,0.0099,
6.41,,,0.7021
6.44,0.1839,0.0064,0.695
6.47,,,0.6985
6.48,,0.033,
6.5,,,0.6982
6.52,,0.0692,0.6961
6.53,0.1803,,
6.55,,,0.697
6.56,,0.0151,
6.58,,,0.7026
6.6,,0.0353,
6.61,,,0.7036
6.63,0.163,,
6.64,,0.0039,0.6942
6.67,,,0.6942
6.68,,0.0536,
6.7,,,0.6946
6.72,,0.0224,0.7012
6.73,0.2024,,
6.75,,,0.6959
6.76,,0.0113,
6.78,,,0.6943
6.8,,0.0547,
6.81,,,0.6963
6.83,0.1342,,
6.84,,0.0277,0.6966
6.87,,,0.6956
6.88,,0.0476,
6.89,,,0.6923
6.92,,0.0206,0.6892
6.93,0.137,,
6.95,,,0.6918
6.96,,0.0261,
6.98,,,0.6983
7.0,,0.0695,
7.01,,,0.6959
7.03,0.1661,,
7.04,,0.0099,0.6912
7.07,,,0.6972
7.08,,0.0278,
7.09,,,0.6974
7.12,,0.0397,0.6932
7.13,0.1503,,
7.15,,,0.696
7.16,,0.0417,
7.18,,,0.6919
7.2,,0.0093,
7.21,,,0.6969
7.23,0.1244,,
7.24,,0.0054,0.6878
7.26,,,0.6862
7.28,,0.0006,
7.29,,,0.6863
7.32,,0.0353,0.6877
7.33,0.1684,,
7.35,,,0.6755
7.36,,0.0198,
7.38,,,0.6574
7.4,,0.0144,
7.41,,,0.6807
7.43,0.1,,
7.44,,0.0295,0.6858
7.46,,,0.668
7.48,,0.0192,
7.49,,,0.6625
7.52,0.181,0.0165,0.6736
7.55,,,0.6724
7.56,,0.0092,
7.58,,,0.6987
7.6,,0.0005,
7.61,,,0.6786
7.62,0.1929,,
7.64,,0.0233,0.6753
7.66,,,0.6853
7.68,,0.0079,
7.69,,,0.6781
7.72,0.1807,0.0173,0.6805
7.75,,,0.6869
7.76,,0.026,
7.78,,,0.6746
7.8,,0.0473,
7.81,,,0.6777
7.82,0.1017,,
7.83,,,0.6833
7.84,,0.0222,
7.86,,,0.6697
7.88,,0.0054,
7.89,,,0.6854
7.92,0.1111,0.048,0.6781
7.95,,,0.68
7.96,,0.0086,
7.98,,,0.6986
8.0,,0.0007,
8.01,,,0.6814
8.02,0.2554,,
8.03,,,0.6877
8.04,,0.0063,
8.06,,,0.6924
8.08,,0.0031,
8.09,,,0.6906
8.12,0.1156,0.0158,0.6866
8.15,,,0.6877
8.16,,0.0076,
8.18,,,0.6804
8.2,,0.0172,
8.21,,,0.671
8.22,0.1291,,
8.23,,,0.6825
8.24,,0.0119,
8.26,,,0.6857
8.28,,0.0004,
8.29,,,0.6602
8.32,0.0991,0.0029,0.6654
8.35,,,0.6767
8.36,,0.0025,
8.38,,,0.6808
8.4,,0.0074,0.6828
8.42,0.156,,
8.43,,,0.6914
8.44,,0.0003,
8.46,,,0.6818
8.48,,0.0078,
8.49,,,0.6743
8.51,0.1238,,
8.52,,0.0011,0.6673
8.55,,,0.6747
8.56,,0.005,
8.58,,,0.6679
8.6,,0.0017,0.6767
8.61,0.1016,,
8.63,,,0.695
8.64,,0.0101,
8.66,,,0.6751
8.68,,0.0062,
8.69,,,0.67
8.71,0.1043,,
8.72,,0.0101,0.6692
8.75,,,0.6645
8.76,,0.0262,
8.77,,,0.6604
8.8,,0.0325,0.6873
8.81,0.1149,,
8.83,,,0.682
8.84,,0.0031,
8.86,,,0.6748
8.88,,0.0069,
8.89,,,0.6746
8.91,0.1537,,
8.92,,0.0005,0.6723
8.95,,,0.6839
8.96,,0.0008,
8.97,,,0.6675
9.0,,0.0003,0.6789
9.01,0.1316,,
9.03,,,0.6801
9.04,,0.0002,
9.06,,,0.6949
9.08,,0.003,
9.09,,,0.6679
9.11,0.096,,
9.12,,0.0038,0.6701
9.15,,,0.6814
9.16,,0.0022,
9.17,,,0.6804
9.2,,0.0121,0.6663
9.21,0.085,,
9.23,,,0.6775
9.24,,0.0015,
9.26,,,0.6752
9.28,,0.0097,
9.29,,,0.6787
9.31,0.0995,,
9.32,,0.0049,0.6761
9.34,,,0.6772
9.36,,0.0026,
9.37,,,0.6753
9.4,,0.0012,0.6672
9.41,0.0732,,
9.43,,,0.6789
9.44,,0.0228,
9.46,,,0.676
9.48,,0.0083,
9.49,,,0.6751
9.5,0.0791,,
9.52,,0.0024,0.6764
9.54,,,0.6624
9.56,,0.0213,
9.57,,,0.6788
9.6,0.1344,0.0051,0.6685
9.63,,,0.6622
9.64,,0.0025,
9.66,,,0.6943
9.68,,0.0011,
9.69,,,0.6837
9.7,0.084,,
9.72,,0.0005,0.6664
9.74,,,0.6573
9.76,,0.0006,
9.77,,,0.6751
9.8,0.0907,0.0002,0.6944
9.83,,,0.6815
9.84,,0.0011,
9.86,,,0.6691
9.88,,0.0005,
9.89,,,0.6735
9.9,0.0676,,
9.91,,,0.6726
9.92,,0.0057,
9.94,,,0.6918
9.96,,0.0011,
9.97,,,0.7013
10.0,0.0988,0.005,0.6773
