epoch,English,Chinese,Multilingual
0.03,,,0.7480372190475464
0.04,,2.64814829826355,
0.06,,,1.9984407424926758
0.08,,2.218076705932617,
0.09,,,1.3182952404022217
0.1,4.366136074066162,,
0.11,,,1.198305368423462
0.12,,3.830859899520874,
0.14,,,1.7829644680023193
0.16,,6.124906063079834,
0.17,,,1.5638004541397095
0.2,5.035955905914307,10.297492027282715,2.737792491912842
0.23,,,1.9439665079116821
0.24,,4.228382110595703,
0.26,,,3.9428060054779053
0.28,,2.0188205242156982,4.512402057647705
0.3,3.7185091972351074,,
0.31,,,2.3641550540924072
0.32,,4.556638240814209,
0.34,,,2.0684657096862793
0.36,,9.462676048278809,
0.37,,,1.4840346574783325
0.4,4.079479217529297,16.321725845336914,1.2798652648925781
0.43,,,1.1160361766815186
0.44,,6.013882160186768,
0.46,,,3.082836627960205
0.48,,12.804224967956543,5.954523086547852
0.5,3.5611565113067627,,
0.51,,,2.2885167598724365
0.52,,2.5916635990142822,
0.54,,,1.2087888717651367
0.56,,16.542797088623047,
0.57,,,1.0203678607940674
0.59,8.515443801879883,,
0.6,,5.0446553230285645,1.87838613986969
0.63,,,3.4425573348999023
0.64,,7.972415924072266,
0.66,,,1.7926435470581055
0.68,,9.105412483215332,2.4106686115264893
0.69,5.634101390838623,,
0.71,,,1.6767528057098389
0.72,,4.694124221801758,
0.74,,,3.1750054359436035
0.76,,5.395870208740234,
0.77,,,1.2432067394256592
0.79,8.947500228881836,,
0.8,,3.8025143146514893,1.8730065822601318
0.83,,,1.2083364725112915
0.84,,6.300693035125732,
0.85,,,1.4149458408355713
0.88,,17.1072940826416,1.042983055114746
0.89,13.06039047241211,,
0.91,,,4.120846748352051
0.92,,7.0481061935424805,
0.94,,,3.217681884765625
0.96,,9.710394859313965,
0.97,,,1.3512893915176392
0.99,2.495893716812134,,
1.0,,15.620133399963379,10.520929336547852
1.03,,,1.583409309387207
1.04,,4.523122310638428,
1.05,,,1.9092657566070557
1.08,,8.861204147338867,0.9854789972305298
1.09,10.782865524291992,,
1.11,,,5.0234856605529785
1.12,,11.11683464050293,
1.14,,,3.4922382831573486
1.16,,6.234622001647949,
1.17,,,1.7857342958450317
1.19,5.102428913116455,,
1.2,,14.628084182739258,1.0655711889266968
1.23,,,1.3544213771820068
1.24,,5.102521896362305,
1.25,,,1.7668635845184326
1.28,,11.994231224060059,17.235769271850586
1.29,4.246410369873047,,
1.31,,,2.368021249771118
1.32,,8.748211860656738,
1.34,,,2.0996506214141846
1.36,,14.677659034729004,
1.37,,,1.0528165102005005
1.39,2.545733690261841,,
1.4,,15.255684852600098,5.6385178565979
1.42,,,1.9710263013839722
1.44,,10.073976516723633,
1.45,,,4.154072284698486
1.48,,11.925917625427246,3.1040139198303223
1.49,2.6853349208831787,,
1.51,,,0.8585439324378967
1.52,,5.9087090492248535,
1.54,,,1.1143643856048584
1.56,,9.338116645812988,
1.57,,,1.2576631307601929
1.58,2.3687870502471924,,
1.6,,6.472003936767578,1.2816005945205688
1.62,,,1.5703920125961304
1.64,,14.419671058654785,
1.65,,,0.7024529576301575
1.68,2.373004674911499,7.637904644012451,1.4110398292541504
1.71,,,0.9599001407623291
1.72,,18.243940353393555,
1.74,,,1.5397015810012817
1.76,,5.2551727294921875,
1.77,,,2.4100534915924072
1.78,6.91945743560791,,
1.79,,,1.3203518390655518
1.8,,7.714288711547852,
1.82,,,2.3395702838897705
1.84,,5.05224609375,
1.85,,,1.7050633430480957
1.88,8.520807266235352,7.967074394226074,0.6750499606132507
1.91,,,1.4471906423568726
1.92,,4.955020904541016,
1.94,,,2.9473981857299805
1.96,,12.10057258605957,
1.97,,,2.514186382293701
1.98,2.419644832611084,,
1.99,,,0.8897972702980042
2.0,,8.696393966674805,
2.02,,,1.8045275211334229
2.04,,4.610175132751465,
2.05,,,0.7861928939819336
2.08,7.675466537475586,25.63416290283203,2.880126714706421
2.11,,,1.3171570301055908
2.12,,2.9134926795959473,
2.14,,,1.3244194984436035
2.16,,9.572149276733398,
2.17,,,3.419313669204712
2.18,4.494657039642334,,
2.19,,,3.679656744003296
2.2,,8.152518272399902,
2.22,,,1.5248750448226929
2.24,,3.610797882080078,
2.25,,,0.920704185962677
2.28,4.755795478820801,11.136229515075684,1.393781065940857
2.31,,,2.4869978427886963
2.32,,9.954933166503906,
2.34,,,1.9902853965759277
2.36,,11.770238876342773,1.0051275491714478
2.38,2.986753225326538,,
2.39,,,1.0812171697616577
2.4,,6.8347978591918945,
2.42,,,1.165682077407837
2.44,,6.5673933029174805,
2.45,,,1.3085187673568726
2.48,2.6881699562072754,10.322376251220703,1.4343395233154297
2.51,,,1.0149075984954834
2.52,,6.5749735832214355,
2.54,,,1.8672971725463867
2.56,,15.029502868652344,0.64715975522995
2.57,7.499756336212158,,
2.59,,,2.083408832550049
2.6,,19.715917587280273,
2.62,,,0.9245561361312866
2.64,,14.343944549560547,
2.65,,,1.4967743158340454
2.67,5.750644683837891,,
2.68,,4.144537925720215,2.232555389404297
2.71,,,2.3401083946228027
2.72,,7.755173206329346,
2.74,,,1.1863586902618408
2.76,,8.306266784667969,0.8784273862838745
2.77,5.071105003356934,,
2.79,,,1.2789976596832275
2.8,,14.281224250793457,
2.82,,,1.0102746486663818
2.84,,18.889238357543945,
2.85,,,2.0826172828674316
2.87,5.438803195953369,,
2.88,,5.9832682609558105,1.6172072887420654
2.91,,,1.0115811824798584
2.92,,3.670377016067505,
2.93,,,1.2081975936889648
2.96,,10.087372779846191,1.308863639831543
2.97,3.4902448654174805,,
2.99,,,0.7246446013450623
3.0,,1.7141207456588745,
3.02,,,2.5464365482330322
3.04,,1.3857353925704956,
3.05,,,1.2040364742279053
3.07,2.349551200866699,,
3.08,,14.377850532531738,0.9384937882423401
3.11,,,2.451754331588745
3.12,,15.230610847473145,
3.13,,,2.4552605152130127
3.16,,13.036969184875488,0.7420961260795593
3.17,7.355980396270752,,
3.19,,,1.5777994394302368
3.2,,6.38059139251709,
3.22,,,1.3098995685577393
3.24,,2.034198760986328,
3.25,,,0.8293352723121643
3.27,2.4531874656677246,,
3.28,,9.314414978027344,1.8716487884521484
3.3,,,1.1500290632247925
3.32,,10.743194580078125,
3.33,,,1.2018194198608398
3.36,,6.2621965408325195,0.7347269058227539
3.37,6.717367649078369,,
3.39,,,0.7190274596214294
3.4,,3.87943172454834,
3.42,,,1.3438398838043213
3.44,,6.9630446434021,
3.45,,,0.4745032489299774
3.47,4.250552177429199,,
3.48,,28.41864776611328,0.5911945700645447
3.5,,,1.1667641401290894
3.52,,7.4594407081604,
3.53,,,1.2051388025283813
3.56,6.685400009155273,6.656006813049316,1.0805786848068237
3.59,,,1.2771999835968018
3.6,,0.6570129990577698,
3.62,,,0.77878737449646
3.64,,0.6544361710548401,
3.65,,,0.9189307689666748
3.66,5.403720855712891,,
3.68,,4.017822265625,1.0601600408554077
3.7,,,1.7115039825439453
3.72,,1.3548277616500854,
3.73,,,1.5709526538848877
3.76,9.413698196411133,21.2606201171875,1.0273853540420532
3.79,,,0.9173943400382996
3.8,,3.7381985187530518,
3.82,,,1.7156250476837158
3.84,,3.2790067195892334,
3.85,,,0.6053087711334229
3.86,5.193390369415283,,
3.87,,,1.439906358718872
3.88,,19.056007385253906,
3.9,,,0.7019452452659607
3.92,,5.528285503387451,
3.93,,,1.389296293258667
3.96,3.309736728668213,10.2322416305542,0.9452236294746399
3.99,,,1.2938828468322754
4.0,,9.327117919921875,
4.02,,,1.0533177852630615
4.04,,8.516788482666016,
4.05,,,2.205026149749756
4.06,4.080776214599609,,
4.07,,,1.4104888439178467
4.08,,1.9483270645141602,
4.1,,,1.3637617826461792
4.12,,24.726215362548828,
4.13,,,1.3522676229476929
4.16,6.193292617797852,0.9077829122543335,1.1313660144805908
4.19,,,1.896055817604065
4.2,,1.690827488899231,
4.22,,,1.1280027627944946
4.24,,1.9823939800262451,
4.25,,,1.8210628032684326
4.26,3.6224865913391113,,
